"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2014","2.2407","2.2328","2.2497","2.2277","","0.27%"
"09/23/2014","2.2393","2.2410","2.2421","2.2265","","-0.06%"
"09/24/2014","2.2366","2.2403","2.2427","2.2277","","-0.12%"
"09/25/2014","2.2610","2.2363","2.2677","2.2352","","1.09%"
"09/26/2014","2.2623","2.2611","2.2687","2.2522","","0.06%"
"09/29/2014","2.2786","2.2620","2.2907","2.2602","","0.72%"
"09/30/2014","2.2782","2.2801","2.2887","2.2687","","-0.02%"
"10/01/2014","2.2833","2.2784","2.2937","2.2737","","0.22%"
"10/02/2014","2.2665","2.2834","2.2852","2.2632","","-0.74%"
"10/03/2014","2.2942","2.2668","2.3071","2.2637","","1.22%"
"10/06/2014","2.2678","2.2916","2.2931","2.2662","","-1.15%"
"10/07/2014","2.2753","2.2682","2.2798","2.2640","","0.33%"
"10/08/2014","2.2630","2.2765","2.2977","2.2619","","-0.54%"
"10/09/2014","2.2695","2.2614","2.2704","2.2495","","0.29%"
"10/10/2014","2.2884","2.2704","2.2892","2.2692","","0.83%"
"10/13/2014","2.2698","2.2870","2.2875","2.2642","","-0.81%"
"10/14/2014","2.2730","2.2696","2.2882","2.2662","","0.14%"
"10/15/2014","2.2693","2.2728","2.2862","2.2537","","-0.16%"
"10/16/2014","2.2629","2.2696","2.2857","2.2582","","-0.28%"
"10/17/2014","2.2460","2.2627","2.2682","2.2427","","-0.75%"
"10/20/2014","2.2437","2.2448","2.2529","2.2379","","-0.10%"
"10/21/2014","2.2451","2.2444","2.2482","2.2342","","0.06%"
"10/22/2014","2.2463","2.2457","2.2512","2.2392","","0.05%"
"10/23/2014","2.2360","2.2468","2.2520","2.2280","","-0.46%"
"10/24/2014","2.2313","2.2365","2.2442","2.2302","","-0.21%"
"10/27/2014","2.2294","2.2282","2.2437","2.2282","","-0.09%"
"10/28/2014","2.2066","2.2300","2.2335","2.2012","","-1.02%"
"10/29/2014","2.2153","2.2067","2.2193","2.1902","","0.39%"
"10/30/2014","2.1988","2.2150","2.2267","2.1966","","-0.74%"
"10/31/2014","2.2240","2.1996","2.2275","2.1900","","1.15%"
"11/03/2014","2.2355","2.2194","2.2435","2.2194","","0.52%"
"11/04/2014","2.2235","2.2349","2.2386","2.2185","","-0.54%"
"11/05/2014","2.2443","2.2212","2.2497","2.2207","","0.94%"
"11/06/2014","2.2636","2.2441","2.2662","2.2332","","0.86%"
"11/07/2014","2.2580","2.2636","2.2820","2.2560","","-0.25%"
"11/10/2014","2.2594","2.2571","2.2612","2.2432","","0.06%"
"11/11/2014","2.2568","2.2597","2.2732","2.2553","","-0.12%"
"11/12/2014","2.2514","2.2570","2.2662","2.2462","","-0.24%"
"11/13/2014","2.2422","2.2532","2.2557","2.2338","","-0.41%"
"11/14/2014","2.2296","2.2416","2.2497","2.2290","","-0.56%"
"11/17/2014","2.2312","2.2286","2.2347","2.2232","","0.07%"
"11/18/2014","2.2214","2.2313","2.2322","2.2157","","-0.44%"
"11/19/2014","2.2320","2.2215","2.2432","2.2192","","0.48%"
"11/20/2014","2.2196","2.2324","2.2433","2.2187","","-0.56%"
"11/21/2014","2.2218","2.2193","2.2294","2.2138","","0.10%"
"11/24/2014","2.2300","2.2210","2.2332","2.2157","","0.37%"
"11/25/2014","2.2197","2.2301","2.2392","2.2190","","-0.46%"
"11/26/2014","2.2106","2.2192","2.2291","2.2087","","-0.41%"
"11/27/2014","2.2072","2.2108","2.2202","2.2046","","-0.15%"
"11/28/2014","2.2196","2.2067","2.2236","2.2042","","0.56%"
"12/01/2014","2.2149","2.2228","2.2302","2.2132","","-0.21%"
"12/02/2014","2.2312","2.2152","2.2342","2.2127","","0.74%"
"12/03/2014","2.2420","2.2327","2.2465","2.2275","","0.48%"
"12/04/2014","2.2342","2.2402","2.2452","2.2290","","-0.35%"
"12/05/2014","2.2610","2.2347","2.2662","2.2312","","1.20%"
"12/08/2014","2.2686","2.2650","2.2822","2.2570","","0.34%"
"12/09/2014","2.2674","2.2694","2.2721","2.2542","","-0.05%"
"12/10/2014","2.2663","2.2670","2.2702","2.2562","","-0.05%"
"12/11/2014","2.2784","2.2667","2.2827","2.2562","","0.53%"
"12/12/2014","2.2990","2.2777","2.3117","2.2667","","0.90%"
"12/15/2014","2.3760","2.2977","2.3946","2.2917","","3.35%"
"12/16/2014","2.3650","2.3771","2.4150","2.3420","","-0.46%"
"12/17/2014","2.3381","2.3602","2.3777","2.3082","","-1.14%"
"12/18/2014","2.3230","2.3392","2.3419","2.3102","","-0.65%"
"12/19/2014","2.3121","2.3218","2.3347","2.3077","","-0.47%"
"12/22/2014","2.3148","2.3091","2.3237","2.3082","","0.12%"
"12/23/2014","2.3226","2.3151","2.3267","2.3117","","0.34%"
"12/24/2014","2.3173","2.3218","2.3262","2.3112","","-0.23%"
"12/25/2014","2.3210","2.3181","2.3230","2.3130","","0.16%"
"12/26/2014","2.3175","2.3197","2.3232","2.3132","","-0.15%"
"12/29/2014","2.3176","2.3166","2.3292","2.3137","","0.00%"
"12/30/2014","2.3289","2.3180","2.3510","2.3119","","0.49%"
"12/31/2014","2.3345","2.3287","2.3400","2.3210","","0.24%"
